juez_id,nombre,email,telefono
97,"Poledo, Carlos",,4032 7281/82
98,"Ruiz, Sebastian Pedro",,
99,"Ribas, Cecilia",,4032-7290/91
100,"Nanni, Ignacio",,
101,"Mormandi, Eugenia",,
102,"Scoppa, Agustina",,
103,"Llan de Rosas, Francisco",,
104,"Castelli, German Andres",,"4752-1677, 4755-5920, 4713-2087"
105,"Mendez Signori, Enrique",tocrimfed7@pjn.gov.ar,4371-3955/2705
106,"Diedrich, Maria Alejandra",tocrimfed7@pjn.gov.ar,4371-3955/2705
107,"Cuenca Aranda, Lucia",tocrimfed7@pjn.gov.ar,4371-3955/2705
108,"Chichizola, Maria Cecilia",tocrimfed7@pjn.gov.ar,4371-3955/2705
109,"Mogaburu, Joaquin Ignacio",tocrimfed7@pjn.gov.ar,
110,"Ruiz, Ernesto Javier",,
111,"López Iñiguez, María Gabriela",,4032-7308/7309
112,"Namer, Sabrina",,4032-7308/7309
113,"Toselli, Nicolás",,4032-7308/7309
114,"Barbano, María",,4032-7308/7309
115,"Guzzardi, Ana Silvia",,
