nivel,path,titulo,detalle,responsables
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 1,SECRETARÍA NRO. 1,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | - (Fax -) | jncrimcorrfed1.sec1@pjn.gov.ar","Nombre: Dra. Gambirassi, María Inés | Cargo: Secretario | Tel: Dra. Gambirassi, María Inés | Email:  | Teléfono: 4032-7106 | Email:  | Cargo: Secretario de Juzgado | Situación: Interino"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 1,SECRETARÍA NRO. 2,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7504 | jncrimcorrfed1.sec2@pjn.gov.ar","Nombre: Dr. Piendibene, Adolfo Omar | Cargo: Secretario | Tel: Dr. Piendibene, Adolfo Omar | Email:  | Teléfono: 4032-7101 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 2,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7110 | jncrimcorrfed2@pjn.gov.ar","Nombre: Dr. Ramos, Sebastián Roberto | Cargo: Juez | Tel: Dr. Ramos, Sebastián Roberto | Email: JNCRIMCORRFED2@PJN.GOV.AR | Teléfono: 4032-7110 | Email: JNCRIMCORRFED2@PJN.GOV.AR | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 2,SECRETARÍA NRO. 3,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7113 | jncrimcorrfed2.sec3@pjn.gov.ar","Nombre: Dr. D'Elia, Carlos Daniel | Cargo: Secretario | Tel: Dr. D'Elia, Carlos Daniel | Email:  | Teléfono:  | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 2,SECRETARÍA NRO. 4,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7116 | jncrimcorrfed2.sec4@pjn.gov.ar","Nombre: Dr. Murano, Esteban Horacio | Cargo: Secretario | Tel: Dr. Murano, Esteban Horacio | Email:  | Teléfono: 4032-7114 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 3,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7118 | jncrimcorrfed3@pjn.gov.ar","Nombre: Dr. Rafecas, Daniel Eduardo | Cargo: Juez | Tel: Dr. Rafecas, Daniel Eduardo | Email: jncrimcorrfed3@pjn.gov.ar | Teléfono: 4032-7118 | Email: jncrimcorrfed3@pjn.gov.ar | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 3,SECRETARÍA NRO. 5,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7121 | jncrimcorrfed3.sec5@pjn.gov.ar","Nombre: Dra. Caron, Albertina Anatonia | Cargo: Secretario | Tel: Dra. Caron, Albertina Anatonia | Email: albertina.caron@pjn.gov.ar | Teléfono: 4032-7122 | Email: albertina.caron@pjn.gov.ar | Cargo: Secretario de Juzgado | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 3,SECRETARÍA NRO. 6,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7124 | jncrimcorrfed3.sec6@pjn.gov.ar","Nombre: Dr. Rivera Solari, Adrián Guillermo | Cargo: Secretario | Tel: Dr. Rivera Solari, Adrián Guillermo | Email: adrian.rivera-solari@pjn.gov.ar | Teléfono: 4032-7122 | Email: adrian.rivera-solari@pjn.gov.ar | Cargo: Secretario de Juzgado | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 4,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7126 | jncrimcorrfed4@pjn.gov.ar","Nombre: Dr. Lijo, Ariel Oscar | Cargo: Juez | Tel: Dr. Lijo, Ariel Oscar | Email:  | Teléfono: 4032-7126 | Email:  | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 4,SECRETARÍA NRO. 7,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7129 | jncrimcorrfed4.sec7@pjn.gov.ar","Nombre: Dr. Arce, Diego Fernando | Cargo: Secretario | Tel: Dr. Arce, Diego Fernando | Email:  | Teléfono: 4032-7127 | Email:  | Cargo: Secretario | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 4,SECRETARÍA NRO. 8,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7132 | jncrimcorrfed4.sec8@pjn.gov.ar","Nombre: Dr. Canero, Martín Fernando | Cargo: Secretario | Tel: Dr. Canero, Martín Fernando | Email:  | Teléfono: 4032-7130 | Email:  | Cargo: Secretario | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 5,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7134 | jncrimcorrfed5@pjn.gov.ar","Nombre: Dra. Capuchetti, María Eugenia | Cargo: Juez | Tel: Dra. Capuchetti, María Eugenia | Email: jncrmcorrfed9@pjn.gov.ar | Teléfono:  | Email: jncrmcorrfed9@pjn.gov.ar | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 5,SECRETARÍA NRO. 9,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7137 / 4842 | jncrimcorrfed5.sec9@pjn.gov.ar","Nombre: Dr. Buenaventura, Matías Ariel | Cargo: Secretario | Tel: Dr. Buenaventura, Matías Ariel | Email:  | Teléfono:  | Email:  | Cargo: Juez de Cámara | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 5,SECRETARÍA NRO. 10,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7138/7139/7140 | jncrimcorrfed5.sec10@pjn.gov.ar","Nombre: Dr. Noguera, Leandro | Cargo: Secretario | Tel: Dr. Noguera, Leandro | Email: jncrimcorrfed5.sec10@pjn.gov.ar | Teléfono: 4032-7138 | Email: jncrimcorrfed5.sec10@pjn.gov.ar | Cargo: Secretario de Juzgado | Situación: Contratado"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 6,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7142 | jncrimcorrfed6@pjn.gov.ar",
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 6,SECRETARÍA NRO. 11,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7145 | jncrimcorrfed6.sec11@pjn.gov.ar","Nombre: Dra. Sanz, Paula | Cargo: Secretario | Tel: Dra. Sanz, Paula | Email:  | Teléfono: 4032-7143 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo; Nombre: Dr. Ambrosio, Miguel Angel | Cargo: Secretario | Tel: Dr. Ambrosio, Miguel Angel | Email:  | Teléfono: 4032-7143 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 6,SECRETARÍA NRO. 12,"Comodoro Py 2002, 3 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7144 | jncrimcorrfed6.sec12@pjn.gov.ar","Nombre: Dr. Echegaray, Sergio Alejandro | Cargo: Secretario | Tel: Dr. Echegaray, Sergio Alejandro | Email:  | Teléfono: 4032-7146 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 7,"Comodoro Py 2002, 4° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7153 | jncrimcorrfed7@pjn.gov.ar","Nombre: Dr. Casanello, Sebastián Norberto | Cargo: Juez | Tel: Dr. Casanello, Sebastián Norberto | Email: jncrimcorrfed7@pjn.gov.ar | Teléfono:  | Email: jncrimcorrfed7@pjn.gov.ar | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 7,SECRETARÍA NRO. 13,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7153 | jncrimcorrfed7.sec13@pjn.gov.ar","Nombre: Dr. Smietniansky, Martín | Cargo: Secretario | Tel: Dr. Smietniansky, Martín | Email:  | Teléfono: 4032-7151 | Email:  | Cargo: Secretario | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 7,SECRETARÍA NRO. 14,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7156 | jncrimcorrfed7.sec14@pjn.gov.ar","Nombre: Dr. Oppel, Nicolás Elías | Cargo: Secretario | Tel: Dr. Oppel, Nicolás Elías | Email:  | Teléfono:  | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 8,"Comodoro Py 2002, 4º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7158 | jncrimcorrfed8@pjn.gov.ar","Nombre: Dr. Martinez De Giorgi, Marcelo Pedro H. | Cargo: Juez | Tel: Dr. Martinez De Giorgi, Marcelo Pedro H. | Email:  | Teléfono: 4032-7158 | Email:  | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 8,SECRETARÍA NRO. 15,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7161 | jncrimcorrfed8.sec15@pjn.gov.ar","Nombre: Dra. Lara, Verónica Mariana | Cargo: Secretario | Tel: Dra. Lara, Verónica Mariana | Email:  | Teléfono: 4032-7159 | Email:  | Cargo: Secretario | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 8,SECRETARÍA NRO. 16,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7164 | jncrimcorrfed8.sec16@pjn.gov.ar","Nombre: Dr. Ortea Escandón, Rafael | Cargo: Secretario | Tel: Dr. Ortea Escandón, Rafael | Email:  | Teléfono: 4032-7162 | Email:  | Cargo: Secretario | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 9,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7167 | jncrimcorrfed9@pjn.gov.ar","Nombre: Dr. Ramos, Sebastian Roberto | Cargo: Juez Subrogante | Tel: Dr. Ramos, Sebastian Roberto | Email:  | Teléfono: 4032-7119 | Email:  | Cargo: Secretario de Juzgado | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 9,SECRETARÍA NRO. 17,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7167 | jncrimcorrfed9.sec17@pjn.gov.ar","Nombre: Dr. Ramirez, Gustavo Ariel | Cargo: Secretario | Tel: Dr. Ramirez, Gustavo Ariel | Email: gustavo.ramirez@pjn.gov.ar | Teléfono: 4032-7167 | Email: gustavo.ramirez@pjn.gov.ar | Cargo: Secretario de Juzgado | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS > JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 9,SECRETARÍA NRO. 18,"Comodoro Py 2002, 4 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7171 | jncrimcorrfed9.sec18@pjn.gov.ar","Nombre: Dr. Febre, Pablo Andrés | Cargo: Secretario | Tel: Dr. Febre, Pablo Andrés | Email: pablo.febre@pjn.gov.ar | Teléfono: 4032-7168 | Email: pablo.febre@pjn.gov.ar | Cargo: Secretario de Juzgado | Situación: Efectivo; Nombre: Dr. Grangeat, Juan Manuel | Cargo: Secretario | Tel: Dr. Grangeat, Juan Manuel | Email: juan.grangeat@pjn.gov.ar | Teléfono: 4032-7171 | Email: juan.grangeat@pjn.gov.ar | Cargo: Juez de Cámara | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 10,"Comodoro Py 2002, 4º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7174 | jncrimcorrfed10@pjn.gov.ar","Nombre: Dr. Ercolini, Julián Daniel | Cargo: Juez | Tel: Dr. Ercolini, Julián Daniel | Email:  | Teléfono: 4032-7174 | Email:  | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
